,Title,Rating,Votes,Oscars,Rating_Oscar_Correction,Rating_Oscar,Rating_Review_Correction,Rating_Review,Rating_New
0,A Gyűrűk Ura: A király visszatér,8.9,1830273.0,11.0,1.5,10.4,0.8,8.1,9.6
1,Forrest Gump,8.8,2056666.0,6.0,1.0,9.8,0.5,8.3,9.3
2,A sötét lovag,9.0,2627389.0,2.0,0.3,9.3,0.0,9.0,9.3
3,A remény rabjai,9.2,2654879.0,0.0,0.0,9.2,0.0,9.2,9.2
4,A keresztapa,9.2,1840188.0,3.0,0.5,9.7,0.8,8.4,8.9
5,Eredet,8.7,2328443.0,4.0,0.5,9.2,0.3,8.4,8.9
6,A keresztapa II,9.0,1260804.0,6.0,1.0,10.0,1.3,7.7,8.7
7,Schindler listája,8.9,1345047.0,7.0,1.0,9.9,1.3,7.6,8.6
8,A Gyűrűk Ura: A gyűrű szövetsége,8.8,1858396.0,4.0,0.5,9.3,0.7,8.1,8.6
9,Ponyvaregény,8.8,2032115.0,1.0,0.3,9.1,0.6,8.2,8.5
10,Mátrix,8.7,1897825.0,4.0,0.5,9.2,0.7,8.0,8.5
11,Harcosok klubja,8.7,2100049.0,0.0,0.0,8.7,0.5,8.2,8.2
12,A Gyűrűk Ura: A két torony,8.7,1652678.0,2.0,0.3,9.0,1.0,7.7,8.0
13,A Birodalom visszavág,8.7,1282615.0,1.0,0.3,9.0,1.3,7.4,7.7
14,Hetedik,8.6,1635362.0,0.0,0.0,8.6,1.0,7.6,7.6
15,Nagymenők,8.7,1150290.0,1.0,0.3,9.0,1.5,7.2,7.5
16,Száll a kakukk fészkére,8.6,1001994.0,5.0,0.5,9.1,1.6,7.0,7.5
17,Tizenkét dühös ember,9.0,783845.0,0.0,0.0,9.0,1.8,7.2,7.2
18," A Jó, a Rossz és a Csúf",8.8,757182.0,0.0,0.0,8.8,1.8,7.0,7.0
19,A hét szamuráj,8.6,344907.0,0.0,0.0,8.6,2.3,6.3,6.3
